Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (719.0, 382.0)
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y
16-41-04-4327990,777.1055,465.5117
16-41-04-5931860,777.1055,465.5117
16-41-04-7570380,777.1055,465.5117
16-41-04-9174360,777.1055,465.5117
16-41-05-0770360,777.1055,465.5117
16-41-05-2410590,777.1055,465.5117
16-41-05-3863330,777.1055,465.5117
16-41-05-5492480,777.1055,465.5117
16-41-05-6808040,777.1055,465.5117
16-41-05-8288680,777.1055,465.5117
16-41-05-9893200,777.1055,465.5117
16-41-06-1490040,777.1055,465.5117
16-41-06-2971060,777.1055,465.5117
16-41-06-4651900,777.1055,465.5117
16-41-06-6169730,777.1055,465.5117
16-41-06-7529530,777.1055,465.5117
16-41-06-8893730,777.1055,465.5117
16-41-07-0453550,777.1055,465.5117
16-41-07-2092750,777.1055,465.5117
16-41-08-0411350,777.1055,465.5117
16-41-08-2009360,777.1055,465.5117
16-41-08-3529240,777.1055,465.5117
16-41-08-5212020,777.1055,465.5117
16-41-08-6768470,777.1055,465.5117
16-41-08-8131170,777.1055,465.5117
16-41-08-9448730,777.1055,465.5117
16-41-09-0769590,777.1055,465.5117
16-41-09-2373930,777.1055,465.5117
16-41-09-3932830,777.1055,465.5117
16-41-09-5569330,777.1055,465.5117
16-41-09-6852860,777.1055,465.5117
16-41-09-8455120,777.1055,465.5117
16-41-09-9809480,777.1055,465.5117
16-41-10-1411380,777.1055,465.5117
16-41-10-3009980,777.1055,465.5117
16-41-10-4530140,777.1055,465.5117
16-41-10-5891730,777.1055,465.5117
16-41-10-7447440,777.1055,465.5117
16-41-10-8973330,777.1055,465.5117
16-41-11-0491400,777.1055,465.5117
16-41-11-2093570,777.1055,465.5117
16-41-11-3729550,777.1055,465.5117
16-41-11-5290440,777.1055,465.5117
16-41-11-6927210,777.1055,465.5117
16-41-11-8251430,777.1055,465.5117
16-41-11-9851250,777.1055,465.5117
16-41-12-1406240,777.1055,465.5117
16-41-12-2787310,777.1055,465.5117
16-41-12-4406730,777.1055,465.5117
16-41-12-6004530,777.1055,465.5117
16-41-12-7370450,777.1055,465.5117
16-41-12-9011020,777.1055,465.5117
16-41-13-0567560,777.1055,465.5117
16-41-13-1913530,777.1055,465.5117
